Year,Action and Adventure,Animation,Art House and International,Comedy,Documentary,Drama,Horror,Musical and Performing Arts,Mystery and Suspense,Other,Science Fiction and Fantasy,All
1970,,,,,1,,,,,,,1
1972,,,,,,2,1,,,,,3
1973,1,,,,1,1,,,1,,,4
1974,,,1,,1,3,1,,1,1,,8
1975,,,,,,4,,,1,,,5
1976,,,1,1,,2,,,,,,4
1977,2,,,2,,5,,,2,,1,12
1978,2,,,,,3,,,,2,,7
1979,2,,,1,,3,,,,1,,7
1980,1,,,1,,4,2,1,,1,2,12
1981,4,,,,,6,,,1,,,11
1982,,,,,,1,2,,2,1,,6
1983,,,,1,1,3,1,,1,,,7
1984,2,,,5,,2,,1,,,,10
1985,,,1,1,,3,,,1,,,6
1986,1,,,1,1,6,,,,1,,10
1987,2,,,2,,9,,,,,1,14
1988,,1,,1,2,7,,2,,,,13
1989,2,1,1,1,,6,1,,1,1,,14
1990,2,,,,,6,1,,1,,,10
1991,,,,,,9,1,1,3,1,,15
1992,1,,,2,,10,,,2,,1,16
1993,2,,,2,,13,1,,2,2,,22
1994,1,,,2,2,1,,,2,1,,9
1995,1,,1,6,,7,1,,1,,,17
1996,2,,,5,,15,,,4,,1,27
1997,2,,,2,,9,,,,,,13
1998,2,,,5,,6,,1,,,,14
1999,,,,2,,12,,,4,,,18
2000,1,,1,2,1,11,,,2,,,18
2001,2,,,4,1,9,,,1,,,17
2002,4,,,4,3,7,2,,2,,1,23
2003,2,,,5,2,11,1,,3,,1,25
2004,4,1,2,3,5,12,1,,,,,28
2005,,1,,2,2,11,1,,,,,17
2006,1,2,1,3,3,19,1,,1,2,,33
2007,4,1,1,4,3,16,,3,1,,,33
2008,5,,,3,4,8,,,2,,,22
2009,3,,1,3,4,4,,1,2,,,18
2010,1,,,2,4,9,1,,3,1,,21
2011,,1,3,2,6,9,,2,2,,1,26
2012,3,,,4,4,10,2,,3,1,,27
2013,1,,,1,1,10,2,,4,,,19
2014,2,1,,2,,1,,,3,,,9
